                                                             Step splitting method                                                              
   cur_x        cur_y      f(cur)    grad f(cur) x grad f(cur) y    next_x       next_y      f(next)   grad f(next) x grad f(next) y    alpha    
-3.00000e-01 8.00000e-01 3.07293e+00   1.28776e+01  -1.60277e+01 -3.00000e-01  8.00000e-01 3.07293e+00    1.28776e+01   -1.60277e+01 0.00000e+00 
        -//-        -//-        -//-          -//-          -//- -1.31776e+01  1.68277e+01 5.96713e+03           -//-           -//- 1.00000e+00 
        -//-        -//-        -//-          -//-          -//- -6.73881e+00  8.81385e+00 1.56458e+03           -//-           -//- 5.00000e-01 
        -//-        -//-        -//-          -//-          -//- -3.51940e+00  4.80692e+00 4.29007e+02           -//-           -//- 2.50000e-01 
        -//-        -//-        -//-          -//-          -//- -1.90970e+00  2.80346e+00 1.26861e+02           -//-           -//- 1.25000e-01 
        -//-        -//-        -//-          -//-          -//- -1.10485e+00  1.80173e+00 4.13465e+01           -//-           -//- 6.25000e-02 
        -//-        -//-        -//-          -//-          -//- -7.02425e-01  1.30087e+00 1.43678e+01           -//-           -//- 3.12500e-02 
        -//-        -//-        -//-          -//-          -//- -5.01213e-01  1.05043e+00 4.55490e+00           -//-           -//- 1.56250e-02 
        -//-        -//-        -//-          -//-          -//- -4.00606e-01  9.25216e-01 5.25615e-01           -//-           -//- 7.81250e-03 
        -//-        -//-        -//-          -//-          -//-         -//-         -//-        -//-   -2.06277e+01    1.14388e+01 1.60626e-01 
-4.00606e-01 9.25216e-01 5.25615e-01  -2.06277e+01   1.14388e+01  2.02271e+01 -1.05136e+01 7.25734e+03           -//-           -//- 1.00000e+00 
        -//-        -//-        -//-          -//-          -//-  9.91323e+00 -4.79420e+00 1.76665e+03           -//-           -//- 5.00000e-01 
        -//-        -//-        -//-          -//-          -//-  4.75631e+00 -1.93449e+00 4.25394e+02           -//-           -//- 2.50000e-01 
        -//-        -//-        -//-          -//-          -//-  2.17785e+00 -5.04637e-01 1.06457e+02           -//-           -//- 1.25000e-01 
        -//-        -//-        -//-          -//-          -//-  8.88624e-01  2.10290e-01 3.38512e+01           -//-           -//- 6.25000e-02 
        -//-        -//-        -//-          -//-          -//-  2.44009e-01  5.67753e-01 1.51384e+01           -//-           -//- 3.12500e-02 
        -//-        -//-        -//-          -//-          -//- -7.82989e-02  7.46485e-01 7.54331e+00           -//-           -//- 1.56250e-02 
        -//-        -//-        -//-          -//-          -//- -2.39453e-01  8.35851e-01 3.64287e+00           -//-           -//- 7.81250e-03 
