                                                             External penalty method                                                             
    c_x        c_y        H(c)        r      dir     c_x        c_y         f(c)         n_x         n_y         f(n)         hx          hy      
 1.0000e+00 2.0000e+00 0.0000e+00 1.0000e+00   -           -          -            -           -           -            -           -           - 
       -//-       -//-       -//-       -//-   x  1.0000e+00 2.0000e+00   5.6960e+03  1.0000e+00  2.0000e+00   5.6960e+03  2.0000e+00  2.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  3.0000e+00  2.0000e+00   4.6189e+04        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.0000e+00  2.0000e+00   2.3170e+03 -2.0000e+00        -//- 
       -//-       -//-       -//-       -//-   x -1.0000e+00 2.0000e+00   2.3170e+03 -3.0000e+00  2.0000e+00   2.0785e+04        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -1.0000e+00  4.0000e+00   4.2041e+04 -1.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -1.0000e+00  0.0000e+00   2.4900e+02        -//- -2.0000e+00 
       -//-       -//-       -//-       -//-   y -1.0000e+00 0.0000e+00   2.4900e+02 -1.0000e+00 -2.0000e+00   3.0050e+03        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -2.0000e+00  0.0000e+00   1.9520e+03        -//- -1.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -5.0000e-06  0.0000e+00   1.8000e+02  1.0000e+00        -//- 
       -//-       -//-       -//-       -//-   x -5.0000e-06 0.0000e+00   1.8000e+02  9.9999e-01  0.0000e+00   1.4690e+03        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -5.0000e-06 -1.0000e+00   2.8299e+02  5.0000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -5.0000e-06  1.0000e+00   9.8996e+01        -//-  1.0000e+00 
       -//-       -//-       -//-       -//-   y -5.0000e-06 1.0000e+00   9.8996e+01 -5.0000e-06  2.0000e+00   1.9599e+03        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  4.9999e-01  1.0000e+00   6.1136e+02        -//-  5.0000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -5.0000e-01  1.0000e+00   1.7874e+01 -5.0000e-01        -//- 
